Students	1153
1175	709 709 590 484 336 
1183	709 172 709 399 590 460 
1144	7 655 128 63 573 
1162	709 704 704 172 709 322 590 313 313 
1145	268 687 128 106 45 63 204 359 359 
344	24 
345	606 
346	442 309 406 528 321 
347	412 128 133 718 
340	466 547 322 322 500 
341	115 466 615 213 528 
342	33 58 615 408 632 251 445 479 492 460 
343	585 547 548 651 651 
810	547 631 365 548 62 729 603 729 318 
811	489 
812	197 9 239 
813	21 91 313 478 359 714 321 574 359 
348	311 235 267 209 445 350 546 
349	228 395 440 253 746 163 
816	91 62 573 
817	606 98 375 
595	290 58 111 28 251 
1149	33 319 462 321 662 
719	741 
718	134 370 45 
717	545 370 19 479 163 
716	15 267 563 209 
715	7 132 244 374 
714	549 124 282 546 22 
713	115 127 341 224 359 359 
712	268 62 69 128 45 204 
711	549 214 290 129 718 
710	62 412 651 651 
915	295 52 344 106 209 679 
1103	709 665 709 563 590 45 546 
606	704 684 192 374 613 321 577 385 718 
917	388 687 91 651 24 651 
594	618 209 439 359 359 
736	572 29 714 
916	545 328 
1182	665 528 321 
1061	202 308 612 52 516 514 
911	585 295 328 239 
1063	69 63 217 576 133 
1062	58 84 251 238 
1065	535 514 
1064	121 618 632 546 
619	45 432 318 
910	585 442 199 347 98 328 
298	443 412 313 651 731 651 651 
299	611 535 651 514 651 651 
296	615 313 460 359 359 
297	399 374 439 
294	290 454 440 160 160 
295	295 204 532 462 239 
292	144 411 436 188 318 
293	322 322 322 322 333 514 359 333 359 129 
290	352 172 209 192 
291	585 377 327 19 
591	7 325 309 313 209 
590	115 295 313 445 355 217 359 359 
593	737 322 322 412 204 737 
592	659 709 180 132 709 123 590 632 478 
199	466 457 618 202 15 478 359 359 
198	665 62 29 
597	651 651 651 
1080	15 549 370 341 615 224 192 514 
195	737 692 45 63 651 737 651 
194	395 440 731 746 
197	502 26 295 132 632 192 675 29 
196	709 709 631 344 333 79 333 
191	585 115 476 297 386 297 
190	115 172 386 91 192 
193	282 651 651 22 
192	615 209 192 459 457 
270	618 21 514 
271	313 528 462 
272	352 127 747 459 29 
273	26 144 111 62 69 192 675 
274	28 375 239 
275	717 360 454 238 492 478 
276	144 360 458 
277	144 615 707 
278	69 15 407 577 707 
279	213 565 528 
738	359 632 374 439 359 359 
1067	565 528 239 
524	202 
525	309 108 111 147 375 
526	277 251 328 163 
527	466 618 313 359 359 
520	295 359 224 632 209 359 359 359 
521	669 213 528 718 
522	466 655 62 63 573 
523	7 202 565 
1014	606 377 720 192 
1015	7 29 
599	118 370 108 388 714 
1017	15 709 709 709 21 590 355 478 321 
528	549 308 436 188 321 576 
529	546 
994	118 69 560 
1013	585 19 98 
1025	15 669 632 439 359 359 
449	115 33 
448	466 347 687 514 553 
443	704 309 322 563 322 313 359 359 
442	84 62 
441	709 457 709 359 359 
1066	549 457 563 313 359 359 359 
447	466 709 33 709 590 632 445 478 
446	240 445 9 462 
445	737 549 412 45 651 737 651 
444	134 19 322 322 365 687 63 333 333 458 
108	344 62 239 
109	236 412 45 106 204 651 651 
1135	487 687 63 560 577 
102	268 128 204 662 
103	443 63 553 
100	737 84 615 106 63 737 514 
101	438 308 192 445 481 
106	89 547 709 709 181 548 333 333 
107	344 192 238 
104	295 321 239 385 
105	315 328 
902	395 686 347 318 385 
903	199 28 315 565 24 577 707 318 
39	370 202 632 514 321 385 
38	115 709 363 180 709 590 313 632 
906	487 134 19 318 
907	347 684 123 
904	692 412 704 
905	709 549 236 709 709 108 399 209 
33	315 204 328 
32	627 664 
31	489 
30	7 240 437 
37	747 308 313 478 532 
36	618 481 
35	172 563 313 313 72 359 359 
34	33 341 313 632 359 359 
641	437 327 192 492 
640	213 52 528 321 
643	370 244 574 613 4 
642	692 535 181 313 651 651 651 
645	89 717 500 615 548 
644	659 341 192 305 
438	115 323 627 209 574 603 718 
439	347 631 69 333 333 385 
436	127 747 563 297 297 
437	585 437 557 489 
434	328 
435	235 344 128 63 192 147 
432	386 91 
433	124 282 318 22 
430	585 495 58 224 
431	631 365 412 573 302 
1156	476 692 341 359 344 204 359 
1002	311 251 209 664 
339	737 651 737 651 
338	7 352 4 
335	228 563 202 111 111 
334	585 123 629 192 
337	132 618 618 108 305 
336	709 709 60 484 478 359 359 
331	487 692 
330	7 717 747 192 350 
333	352 108 251 
332	487 322 322 500 548 
1120	709 709 590 632 305 714 
744	466 235 687 546 72 
1000	487 89 717 500 548 412 63 
745	115 323 199 359 359 
854	7 704 297 108 192 297 483 689 
818	115 19 
856	352 665 277 388 
857	545 347 163 746 
851	563 313 217 359 359 574 613 718 359 
852	606 454 
819	585 
858	268 204 
859	363 436 576 603 22 
748	720 596 
6	659 15 412 106 484 460 359 359 603 359 718 
1150	476 399 184 536 129 
900	454 440 370 79 
848	308 197 577 318 
99	737 651 737 731 651 
98	495 224 
844	115 132 535 267 
1085	202 411 436 188 
91	323 344 62 565 528 
90	611 477 478 
93	106 128 560 458 110 
92	124 282 514 22 
95	438 669 308 315 528 
94	115 585 7 466 406 165 318 
97	732 613 603 
96	15 737 737 549 106 63 651 737 651 
1030	692 
815	7 454 440 
1098	7 572 444 731 163 
740	352 704 359 632 217 217 359 359 359 
741	89 547 295 548 460 729 729 
742	547 454 440 360 322 322 322 572 631 63 
743	352 177 580 341 
559	611 308 516 481 3 321 
558	659 308 313 516 319 
