Course	Room	Teacher	Time	Students
1	WDS	239	1	63 723
514	SHA410	292	15	18 39 54 92 154 158 162 214 237 270 293 299 326 374 381 420 448 507 534 671 749 805 1040 1043 1065 1105 1127 1153
3	SHA217	99	3	78 407
4	STO16	151	3	21 166 201 338
5	OBS	251	1	61
7	SHA410	178	2	8 9 30 44 52 57 79 83 94 131 135 156 161 163 181 185 207 214 228 288 304 313 315 330 338 354 368 371 378 385 421 429 466 482 486 487 503 510 523 544 548 562 563 588 591 623 648 653 660 674 683 694 706 715 732 783 789 791 815 853 854 868 872 882 898 922 946 951 962 966 999 1015 1022 1049 1073 1087 1097 1098 1108 1144 1155 1181
9	ESTW307	281	16	161 446 451 541 560 812 845 988 997 1019 1053 1082 1117
522	SHA217	199	6	283 893 949
12	HLS105	68	8	681 732 863 1055
15	STOAUD	22	6	4 6 11 16 19 44 80 81 85 88 96 111 182 278 413 454 457 479 499 538 574 584 638 652 653 716 730 734 750 752 765 766 767 777 823 826 874 891 957 977 990 1017 1023 1025 1080 1092 1116 1161 1165
528	ESTW307	282	4	126 146 151 271 279 346 411 475 480 514 521 541 640 803 970 1067 1083 1086 1090 1182
17	ESTW309	108	11	58 407 681 1096 1159
19	STO10	160	18	235 245 260 291 444 487 511 519 568 598 717 747 818 828 906 945 954 966 1013 1027 1029 1046 1055
532	HLS108	245	11	295 772 849 1099 1111
21	CHSAUD	72	7	17 260 270 288 318 353 411 416 426 492 493 496 507 696 728 749 813 896 995 1017 1127 1153
22	HLS109	122	4	92 193 301 433 489 490 581 731 847 881 1131
535	ESTW307	174	8	48 81 227 269 299 315 350 415 639 642 684 790 844 973 1021 1065 1173
24	ESTW307	23	9	83 156 266 344 476 497 545 556 624 632 674 761 784 917 1168 1181
516	ESTW307	194	2	61 187 189 256 353 402 558 559 685 928 980 1129
26	CHS101	113	10	197 229 273 414 495 517 679 723 777 876 885 1104 1125
27	GST101	151	2	167 201 677 705 772 897 1029 1096 1141 1163
28	HLS109	145	12	117 274 358 595 657 865 903 1018 1115
29	SHA410	215	11	49 60 84 149 156 198 238 322 373 556 562 629 657 683 698 727 736 778 820 944 946 979 1015 1026 1048 1094 1128 1152 1181
543	HLL106	239	2	86 842 1077
734	HLS204	112	1	172 329
