Course	Room	Teacher	Time	Students
1	HLL201	239	35	63 570 723
514	ESTW307	292	34	17 18 54 92 100 154 158 162 237 270 293 326 374 381 385 532 749 805 1040 1042 1043 1061 1065 1083 1105 1107 1153
3	STO207	99	35	78 385 407 416
4	HLS11	151	35	21 166 643 658 704
5	IRADEAREID	251	35	61
7	SHA410	178	31	52 57 131 135 163 185 214 304 313 338 354 371 378 429 482 548 562 563 660 674 694 706 715 783 791 853 868 898 999 1015 1022 1097 1098 1155 1181
9	CHS104	281	31	150 161 446 451 996 1019 1053 1082
522	UN114	199	46	893 949
12	STO207	68	31	681 732 1180
15	STOAUD	22	46	6 11 16 19 26 44 80 81 85 88 96 111 175 182 278 413 454 457 479 499 538 568 574 584 598 638 652 653 716 730 750 752 765 766 767 823 891 977 990 1017 1023 1025 1037 1080 1092 1116 1161 1165 1170
528	CHSAUD	282	35	42 146 151 271 279 341 346 475 480 514 521 640 803 970 1067 1090 1182
17	GST102	108	17	407 681 1096
19	SHA410	160	21	130 235 245 260 444 487 511 519 747 828 954 966 1013 1027 1046
532	HLL106	245	35	37 772 849 1099 1111
21	HLS108	72	28	17 260 270 288 411 416 426 492 493 496 507 696 728 813 896 1127 1153
22	CHSAUD	122	46	13 92 193 301 433 489 490 714 731 847 859 881 928 1131 1136
535	HLL107	174	31	81 207 227 269 299 350 415 639 642 684 790 844 1021 1065
24	ESTW309	23	46	83 156 266 344 476 497 545 556 624 632 674 761 784 903 917 1181
516	HLL7	194	31	61 187 189 256 353 402 558 559 685 703 833 928 980 1129
26	STO10	113	46	197 229 273 414 495 517 723 876 885 1104 1125
27	STO14	151	17	201 677 705 772 1029 1163
28	HLL6	145	31	117 358 595 657 677 865 903 935 1115
29	STOAUD	215	28	49 84 113 116 198 238 254 272 322 537 574 629 683 727 736 778 944 946 961 1015 1048 1094 1113 1152 1181
543	STO18	239	31	
734	MARSHAUD	112	35	172 329
33	STOAUD	212	21	8 34 78 80 116 224 262 282 312 447 449 503 627 737 787 804 989 991
546	ESTW307	227	35	25 52 60 70 84 112 179 312 322 368 469 529 535 605 617 662 686 688 714 744 831 876 979 992 1064 1103
547	HLS105	8	17	71 106 230 343 491 601 671 709 741 742 798 810 841 953 977 1059
